LATITUDE,LONGITUDE,MUNICIPIO
-12.31,-42.89,OLIVEIRA DOS BREJINHOS
-12.01,-38.61,OURICANGAS
-10.97,-41.08,OUROLANDIA
-14.26,-43.16,PALMAS DE MONTE ALTO
-12.52,-41.55,PALMEIRAS
-13.44,-42.23,PARAMIRIM
-12.69,-43.18,PARATINGA
-10.68,-37.86,PARIPIRANGA
-15.46,-39.65,PAU BRASIL
-9.4,-38.22,PAULO AFONSO
-11.83,-39.61,PE DE SERRA
-12.15,-38.65,PEDRAO
-10.01,-37.89,PEDRO ALEXANDRE
-13.15,-41.77,PIATA
-10,-42.5,PILAO ARCADO
-14.49,-42.68,PINDAI
-10.74,-40.36,PINDOBACU
-11.81,-39.9,PINTADAS
-13.76,-39.37,PIRAI DO NORTE
-14.94,-41.72,PIRIPA
-11.73,-40.55,PIRITIBA
-13.25,-40.36,PLANALTINO
-14.67,-40.47,PLANALTO
-14.53,-40.36,POCOES
-12.43,-38.32,POJUCA
-10.86,-40.13,PONTO NOVO
-16.45,-39.06,PORTO SEGURO
-15.59,-39.87,POTIRAGUA
-17.34,-39.22,PRADO
-11.29,-41.98,PRESIDENTE DUTRA
-14.68,-41.67,PRESIDENTE JANIO QUADROS
-13.44,-39.42,PRESIDENTE TANCREDO NEVES
-10.97,-39.62,QUEIMADAS
-10.75,-39.21,QUIJINGUE
-11.41,-40.12,QUIXABEIRA
-12.4,-39.5,RAFAEL JAMBEIRO
-9.62,-42.08,REMANSO
-11.49,-39.42,RETIROLANDIA
-11.74,-44.91,RIACHAO DAS NEVES
-11.81,-39.38,RIACHAO DO JACUIPE
-13.6,-42.93,RIACHO DE SANTANA
-11.04,-38.43,RIBEIRA DO AMPARO
-10.83,-38.53,RIBEIRA DO POMBAL
-15.45,-40.73,RIBEIRAO DO LARGO
-13.57,-41.81,RIO DE CONTAS
-14.41,-42.07,RIO DO ANTONIO
-13.12,-42.29,RIO DO PIRES
-11.48,-37.93,RIO REAL
-8.85,-38.75,RODELAS
-12.28,-40.49,RUY BARBOSA
-12.87,-38.76,SALINAS DA MARGARIDA
-12.97,-38.51,SALVADOR
-11.95,-38.97,SANTA BARBARA
